title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
Great application for Events that are Free,India O.,Adjunct Professor,"Higher Education, 501-1000 employees",Used the software for: 6-12 months,NGC,Source: GetApp,"Nov 16, 2018",5,4,5,5,5,6.0,,"Pros: Eventbrite has my vote for an easy to use platform to offer and market events that are offered for free. The ability to reserve a space and get confirmation is value added. The app includes reminders keep the events you signed up for top of mind. Another favorable feature is the ability to search for ""Eventbrite Events Near Me"". This feature allows for impromptu outings that are often low cost. The ability to filter by mood, categories, dates or to be surprised help to hone in on the right event for your situation.","Cons: If you are planning to use EventBrite to sell tickets the platform gets more complicated and structured, including the limited ways in which you can receive money for tickets. My professional organization considered using it for small fee ticket sales for member events but the rules and at the percentage taken by EventBrite were restrictive to the point that we didn't move forward. However, EventBrite offers three pricing structures so if you are planning a complex event, wish to get analytics from your event, reserve seating, or need on site staffing and support and have a margin of profit, then EventBrite is worth exploring.",,
Great idea ... but really bad and extremely slow customer support!,Gregory P.,Musical Director,,Used the software for: 1-2 years,NGC,Source: Capterra,"Jul 12, 2017",5,4,4,1,5,6.0,,Pros: The COST can't be beat. It's great to be able to do this without fees of other traditional Ticketing agencies charge,Cons: really bad and extremely slow customer support! I emailed a question after waiting on hold on the phone for over an hour and got a response A WEEK LATER. Pretty bad!,,
Great for planning events that require tickets,Verified Reviewer,Musical Director,"Events Services, 51-200 employees",Source: Capterra,NO,Source: Capterra,"May 09, 2018",4,2,2,3,5,7.0,,"Pros: I used EventBrite to create and distribute invitations to our company's annual holiday party. I was able to input all of the event's details rather quickly and easily, and was even able to upload the invitation that I designed to add it to our 'page' for our event. It's sleek looking, and was fairly straightforward to configure.","Cons: It's not very intuitive. It took me quite a few Google searches just to figure out how to send a reminder email to all of the non-responders. We also had a number of people email us separately to RSVP for our event, and it was rather clunky (and not obvious) to try and add attendees manually. This reason alone will be why we use different software next year.","Overall: This software is great (probably even the best) for users who are planning events that have a ticketing system associated with them. If you're hosting a simple party that won't have a ticketing system implemented, such as a holiday party, birthday party, etc, this software is a bit of overkill. Overall, it allowed me to achieve my goal, which was to invite people to our holiday party and be able to track the RSVPs.",
Great platform for managing an event!,Verified Reviewer,Musical Director,"Education Management, 501-1000 employees",Source: Capterra,NGC,Source: Capterra,"Sep 14, 2018",5,5,5,5,4,9.0,,"Pros: - Easy to use and navigate - you can build an event quickly

- Great for tracking data and registration purposes

- Attendees can use this to check in to events with ease using .pdf or app

- Lots of opportunities for customizing - search fields, graphics, etc.

- Decent customer support and help available through the website

- All-in-one place - no need to multiple platforms to accomplish these goals","Cons: I don't have many things to complain about with regards to Eventbrite and my experience using it. There was a steep learning curve, as I was new to the platform, but I was able to find help with ease. Depending on your budget, it may be pricey, but consider your long-term goals to decide if it's worth it.","Overall: Positive experience, but I feel that I have a lot more to learn about this platform in order to use it to its fullest potential.",
Software for all levels of experience,Staci H.,Director of Events,"Public Policy, 1-10 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Oct 24, 2018",4,5,4,5,5,9.0,,"Pros: Eventbrite is easy to use for all levels of planning experience. It's a great tool for free events, as well as paid registrations and ticketed events. The back end of the software is easy for planner (and non-planners) to use. Their customer service is really wonderful. They can set your non-profit organization up quickly to receive lower transaction fees. I don't receive many complaints about the software.","Cons: The only downfall is the challenges in getting 'just the right' logo/image dimensions on the registration page or in the description page. There's not much customizing in those areas, particularly in the description/text area for the main page. It's really a plain text only option.","Overall: I've had a great experience with Eventbrite. I've primarily used them for free events, but a handful of paid events as well. I would recommend them for a 'do it yourself' registration option.",
My perfect companion: when visiting new places.,Ifeoma O.,Developer,1001-5000 employees,Used the software for: 1-2 years,NGC,Source: Capterra,"May 13, 2018",5,5,5,5,5,10.0,,Pros: Event brite has a large user base and it is becoming the default medium for attendees to any event to get tickets.,"Cons: In non western countries,Eventbrite has got very low patronage and thus there are very few events to attend ,when I have visited places like Saudi Arabia or Qatar.I feel the Eventbrite team needs to focus her marketing in non-western country's too.",,
Simply Awesome!,Sandra S.,Communications,"Religious Institutions, 1-10 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Nov 15, 2018",5,5,5,5,5,10.0,,Pros: I can offer all kinds of tickets for any of our community events at church. It works just fine. I also love the fact that you can select the type of info you wish to collect from attendees and create a zap in order to have the info transferred to a spreadsheet without having to type it. This automated process is just lovely.,Cons: When you have to charge for tickets the process fee is kind of high. Other than that everything is good.,,
The Standard for a Reason,Grant S.,CEO,"Computer Software, 1-10 employees",Used the software for: 2+ years,NGC,Source: GetApp,"May 10, 2018",5,5,5,5,3,8.0,,"Pros: It is so easy to setup an event, manage payments and RSVPs. I like knowing that Eventbrite makes it easy for my attendees to add the event to their calendar. An added bonus is the social sharing.","Cons: I would like better integration with Wordpress, and the ability to integrate Eventbrite seamlessly into my Wordpress pages. However, this isn't a huge deal since most of the time I wouldn't invest the time and effort to design and code a custom web page.",,
Gives my events a professional look.,Tope O.,Senior Marketing Analyst,,Used the software for: 2+ years,NGC,Source: Capterra,"May 13, 2018",5,5,5,5,5,9.0,,"Pros: I make use of Eventbrite for personal events and it has always made my event look very organized and professional. I like the ability to add a photo to my event page and how I instantly receive notification about new registrants to my event ,showing me their name and email address.",Cons: I will like to be able to ask registrants for my event more complex questions during the signup process ; however Eventbrite doesnt let me do this,,
5 stars!,Alyssa J.,Professional,"Education Management, 501-1000 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Apr 10, 2019",5,4,5,4,5,8.0,,"Pros: I love that there is no cost for events that are free. This platform has all of the tools that I deem necessary to plan and accommodate small events that I often have to plan for my job. It easily allows me to send out invites, manage guest list, send reminders and register attendees when they arrive. It works so well, that I would easily pay for the service that they offer because they truly are an invaluable asset. Eventbrite has saved me when I literally had 5-7 days to set up an event and manage guest and there needs in order to pull of successful events. Always top of mind for me.","Cons: Eventbrite customer service is limited to none. Thus, that is a major red flag. With any event management platform that's selling tickets for actual money. I can guarantee that some issue would pop up at some point. So to have poor customer service that just wouldn't work for me.","Overall: I have had great experiences with this platform. However, it should be noted that I have only used the free option because the events I have are free. I haven't had any major concerns because these events I plan have a maximum of about 75 people. So great tools available depending on your needs.",
Eventbrite is Awesome!,Beka P.,Administrator,"Religious Institutions, 51-200 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Feb 12, 2019",5,5,5,4,5,9.0,,"Pros: I love that Eventbrite can be used for personal or business-run events; it's easy to use and personalize, you can email people that have signed up for the event, connect with social media platforms, and follow up afterwards with a thank you. You can use your own theme and graphics or they have lots of great themes to choose from. I like being able to make it a free rsvp only event or one people can pay for and that you can check people in that have already registered once they get to the event! So helpful!","Cons: I can't think of many cons to Eventbrite, but if I had to choose something, I'd say sometimes when I create my own theme that it saves with a funny color and when I choose a different one, it didn't save. Not a huge deal, thought.",,
Eventbrite works great because it makes the registration process easier and keeps it all together .,Mahala W.,Office Administrator/Manager,"Religious Institutions, 11-50 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Apr 19, 2018",5,5,5,5,5,10.0,,"Pros: Its an easy way to see how many people are registering, as well as tracking how much you made for that specific event. Also, the cost per transaction is not bad.","Cons: We had an event where the check was never cut or sent to us for over 6 months. Normally it is suppose to be sent immediately after the event. We did finally receive it, but it was only after we requested it.",Overall: We mainly like the ease of use and also tracking for each event.,
Best way to host events,PRINCE K.,Business Associate,"Professional Training & Coaching, 5001-10,000 employees",Used the software for: 2+ years,NO,Source: Capterra,"Feb 25, 2019",5,5,5,5,5,9.0,,"Pros: I love eventbrite and using it to host events as well as join events, it's very easy and user friendly. It's also better than constant contact as it allows you to personalize the event and make it really pop.",Cons: I think they could try to include more features into the events i.e. a customization of the page and more. Similar to how constant contact allows you to customize how the page will look.,Overall: Love it!!,
The basic functionality is a cost-effective way to create online sign-ups for ticketed events,Brent K.,General Counsel,"Primary/Secondary Education, 501-1000 employees",Used the software for: 2+ years,NGC,Source: Software Advice,"Jan 09, 2019",5,5,4,5,4,9.0,,"Pros: Cost--if you're not creating paid events, you can keep your usage very inexpensive. If your IT Department doesn't regularly build sign-up sites for you, this can give you easy functionality on a shoestring budget. It can be an appreciable cost for low-cost events (because the pricing would comprise a higher percentage of each ticket's revenue), but if you don't have a payment-processing solution, or don't have the financial controls or manual functionality to collect payments, then it's likely worth its value to you.","Cons: If you don't go with a custom design, your audience may recognize that you opted for a budget-oriented solution. That may not be the kind of client signaling you want to send, but the potentially low cost has to come with some kind of trade-off.",,
A Lifesaver for Our Events,Terri B.,Director of Development,"Philanthropy, 51-200 employees",Used the software for: 2+ years,NGC,Source: Software Advice,"Nov 14, 2018",5,5,5,5,4,10.0,,"Pros: This has become so useful for our events. We have at least one a year, including our main fundraising event. This has simplified the ticket sales situation and we have even added our sponsorship opportunities to the site. I like that you can make donations through this as well. It is beneficial that the purchaser pays the processing fee.","Cons: While I like that it asks the purchaser to pay the fee, I wish we had the option to give the purchaser the choice as to whether or not they paid it. While this might seem a bit contradictory, there are different mind sets with making a donor or ticket purchaser pay the processing fees. I appreciate it, but some feel the fees are the cost of doing business and that should not be passed on. So I wish we had the option to make that choice.",,
Ticketing leader,Verified Reviewer,Director of Development,"Philanthropy, 11-50 employees",Source: Capterra,NGC,Source: Software Advice,"Mar 19, 2019",4,5,3,4,4,7.0,,Pros: It is easy to utilize and set up for any event we have.,Cons: It is a bit outdated on how it merges with our CRM and the features. We use it for endurance events and banquets but endurance events are harder to tailor and they are better at ticket events.,Overall: They are our registration system for all events and they connect to our CRM API for integration so it merges our constituents. They also send info to Crowdrise for the peer-to-peer fundraising.,
reliable event management software and recommended by topmost companies,JASVIN G.,student,"Primary/Secondary Education, 10,001+ employees",Used the software for: 6-12 months,NGC,Source: Software Advice,"Oct 05, 2017",5,4,5,4,5,10.0,Comments: their online RSVP's system and convenience to RSVP or organize foe an event is so magically wonderful. in fact it would not be futile to say that from planning to promoting and selling and doing rsvp online has made life easy and so creating an event.,"Pros: it has been a long since i have been using this event management software for my institution to register students and setup an event. had this software not been here, it would be a cumbersome task to register students for an event. and to make any event successful audience attendance is the primary source as well as management. It functions in both the region. In las vegas they have a huge market, where they plan, promote, and sell all the show tickets and they are linked up the engineering department of regional schools and state university.","Cons: it is considered as one of the largest event community spanning all over america and such perfect planning of an event is also needed to outrun this software. in short, i am not so sure about this software's negative side. i would say their service fees and fees per ticket percent rate are high and it does affect the reach of audience attendance.",,
I've used Eventbrite to manage ticketing for small and medium sized venue shows.,Verified Reviewer,student,,Source: Capterra,NGC,Source: Software Advice,"Apr 20, 2018",5,5,5,5,5,10.0,,"Pros: Eventbrite has become one of the leaders in the ticketing world for a reason! I love how easy the process of using the app (from start to finish) is, and how easy it is to track sales and metrics along the way.",Cons: Nothing major - Eventbrite blows any competing apps I've used out of the water. Would highly recommend to anyone looking for a ticketing system.,Overall: Easy + affordable customer ticketing for events.,
Amazing event management software,Michelle H.,Development and Marketing Manager,"Non-Profit Organization Management, 51-200 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Dec 13, 2018",5,5,5,5,5,10.0,,"Pros: User friendly, intuitive. Support is available 24/7 online. Some of the event management features include attendee, badge managing along with vendor management tools. They offer promoting tools for social media, surveys, feedback options. The volunteer management tool is easy to use. Offers lot of functions to manage and organize any event. Could integrate with SurveyMonkey and possibly other tools.",Cons: Some of the settings are not as user friendly. The custom data fields aren't super clear to navigate. The customer service is not the most reliable. There are some limitations on reporting such as not being able to print reports based on names of registrant. Great tool if you're running smaller events.,Overall: I used EventBrite in the past and it's effective at executing events.,
Very Helpful for Promoting and Tracking Events,Denise L.,Owner,"Education Management, 1-10 employees",Used the software for: 1-2 years,NGC,Source: Capterra,"Jul 29, 2019",5,5,5,5,5,10.0,,"Pros: Given Eventbrite is free, it is so handy to use when you have an event you want to promote, post, and track. There is pay function but I haven't used it. I've used it for promo events I have and want to advertise it out to people. It goes online free to anyone searching for events in my area. It's a great tool to track and take payments if you want. It'll get all the information from your people enrolling so you can track them for the future. I network with other small businesses and they all use it from instructors like me for an event to coaches and financial advisors.","Cons: I can't complain about this software as it is free. Maybe I might if I were paying on using it at a different user level, but it's such a nice tool for a small business to promote events. So many of us use it.",Overall: It's a nice well known tool for small businesses or non-profits to use when they have an event to promote whether it is free or paying.,
The leader of the pack,Peter G.,Owner,"Fishery, 1-10 employees",Used the software for: 6-12 months,NGC,Source: Capterra,"Nov 06, 2018",4,4,5,5,5,10.0,,Pros: I used to use other social media platforms to invite customers to events or special sales and promotions that I was having to increase sales and also ultimately traffic to my website. I was a littlw hesitant to use Eventbrite at first because it would take thw customer away from my webpage but the customisation options allowed me to really focus on making my events personal to my busibess. I would get updates the instant someone signed up for an event or a sale that I promoted with EventBrite. They offer an outstanding product and will use them again in the near future,Cons: I do not have too much bad to say about EventBrite other then the customer has to leave my page in order to go to the event page. I wish there was an integrated wigit I could use to bring Eventbrite to my social media platforms,Overall: Im trying to bring customers together and get them excited about what we have to offer. Marketing sales as events with Eventbrite makes it a little less intimidating for the customer to make a purchase as it makes them feel apart of something and it makes them feel welcome.,
Easy webcast registration handler,Verified Reviewer,Owner,"Professional Training & Coaching, 201-500 employees",Source: Capterra,NGC,Source: Capterra,"Jul 18, 2019",5,5,4,5,5,9.0,,"Pros: It's easy to create a template and then duplicate it. We offer around 18 different webcasts that repeat every month, so being able to set them up without having to do it all from scratch is nice.","Cons: I don't like it that we are using another piece of software to handle registrations, Eventbrite works great, but our webcast strategy needs some work. We should be using a webcast software that handles registrations so it's a one-stop experience for attendees. This is not a knock against Eventbrite, it's a knock against us!",,
Makes it easy for guests to register for events.,Rolake D.,Financial Analyst,Transportation/Trucking/Railroad,Used the software for: 1-2 years,NGC,Source: Capterra,"Feb 14, 2018",5,5,5,4,5,10.0,,"Pros: Eventbrite automates the process of inviting guests to events.Saves paper ,and removes the cost of printing invitation cards ; making it easy for guests to simply register for the event and get an automatic invite email,which they can download as a .pdf file or simply save it on their Eventbrite app.","Cons: Free events created on Eventbrite have very little security as random strangers can easily register and get an invitation for the event.As free events are displayed on the Eventbrite website,with no barrier for strangers to register.",,
Don't know where I would be without Eventbrite!,Verified Reviewer,Financial Analyst,"Real Estate, 11-50 employees",Source: Capterra,NGC,Source: Capterra,"Nov 27, 2018",5,5,5,4,5,10.0,,"Pros: It feels like I have been using Eventbrite for years...I don't remember a time before it! I use this site for both personal and professional use. In my personal life, I use it to book and register for events I am interested in attending. When I want to find unique activities happening in my city, I always go to Eventbrite first. I have used this site many times in the past as an organizer, since I am an Event Planner. Eventbrite is so easy to use and helps track me attendance, allows me to send follow up emails to attendees, processes payment from guests...it has been an absolutely lifesaver to me and I could not recommend it enough.",Cons: I have nothing negative to say about this product.,,
Extremely easy to use with great integration,Scott S.,Owner Operator,"Primary/Secondary Education, Self-employed",Used the software for: 2+ years,NGC,Source: Software Advice,"Nov 05, 2018",5,5,5,4,5,10.0,"Comments: I love that eventbrite allows for my events to be circulated. After setting up events for myself and a few stores I work with --I do live meditation and spirituality events-- I started to see them in google searches, and circulating on the web. Super easy","Pros: Eventbite! You integrate so seamlessly into facebook! I love you! Easy set up, click and drop, format with low fees and great integration. Easy. Easy and good looking. I even got customers outside of my regular group of folks who attend my events.","Cons: I mean I guess that the website does take a nominal fee from each ticket sold, you can pass that on to customers but I wouldn't. I had some work-around in implementing to my website but they were easily fixed and were more on the end of Squarespace than eventbrite.",,
An event of interest is just a few days away on Eventbrite.,Abimbola K.,Customer Support Agent,"Entertainment, 51-200 employees",Used the software for: 2+ years,NGC,Source: Capterra,"May 06, 2018",5,5,5,5,5,10.0,,"Pros: I use Eventbrite majorly to locate ""free to attend"" local networking events of interest,taking place around my environment.

Over the years ,I have made friends and expanded my business network ; as a result of events,I found on Eventbrite.",Cons: It's been extremely helpful over the past two year period and it is impossible to find anything I dislike about this program.,,
A great tool to handle the wide variety of events you might have across the globe.,Chris E.,BI Manager,"Consumer Goods, 1001-5000 employees",Used the software for: 1-2 years,NGC,Source: Software Advice,"Apr 10, 2019",5,5,5,5,5,9.0,"Comments: We use it to manage dinners and other events both at home and during remote conventions. Really helps us plan and coordinate resources needed, as well as limit the amount of attendees. Easy to set up and easy to manage, an all around great tool.","Pros: Excellent ability to manage and promote multiple events, and multiple types of events. Simple web interface makes it easy to interact with and delegate actions to others.","Cons: There are always one-off issues with invitees, and it's a bit cumbersome to manage these one-offs. Bu this is common among all tools, not just Eventbrite.",,
"Does what it needs to, but could do more",Verified Reviewer,BI Manager,"Primary/Secondary Education, 201-500 employees",Source: Capterra,NO,Source: Software Advice,"Jun 27, 2019",4,4,4,5,5,8.0,,"Pros: Effective way of managing lots of events; integrates with automation tools (Workato, Zapier, etc.). Clean interface for users",Cons: Refunds! Can only do 1 refund at a time. Integration isn't as customizable. New format for event creation doesn't allow for HTML editing and restricts photo size to be same width of text block (meaning images come out humongous).,,
Better results if an App for phones is designed.,Maria G.,Manager,"5001-10,000 employees",Used the software for: 1-2 years,NGC,Source: Software Advice,"May 22, 2018",4,5,5,3,5,8.0,,"Pros: Eventbrite is the best software to take into account events, occasions and even parties, or an anniversary, although of course, this is for something more entrepreneurial, since its functions have timetables and it really helps to remember important dates where some important event may occur.","Cons: I would like Eventbrite to add a version for mobile devices, and in this way it is easier to follow the events that are about to happen to the letter. A good follow-up from the mobile phone, would bring better results.",,
Eventbrite is great for SXSW activities,Kathi B.,Project manager,"Financial Services, 1001-5000 employees",Used the software for: 2+ years,NGC,Source: Software Advice,"Mar 13, 2017",4,5,3,3,5,9.0,Comments: Overall this is a great app,"Pros: Eventbrite is a great application. It is easy to use, Helps sponsors build their email lists and predict who's going to their events. Gathers all (or most) of my event information in one place, and sends reminders.",Cons: How much information does each sponsor need? It would be great if it could remember all my data and pre ovulate/ save me time.,,
Using Eventbrite for our upcoming techers conference!,Amy L.,Director of Development,"Philanthropy, 11-50 employees",Used the software for: 1-2 years,NGC,Source: Software Advice,"Jul 11, 2018",5,5,4,3,5,10.0,Comments: I highly recommend eventbrite for any nonprofit event!,"Pros: We used to use cvent, which was very expensive. Eventbrite is giving us almost all of the same features without the huge price tag. We can customize the questions so we can easily gather all of the information we need from each attendee. We can schedule reminders to attendees and those who still need to register. We can have all the information we need about attendees and track any changes they make to their registrations in one place. We also used eventbrite to sell tickets for a concert we held last year and it was fantastic. Easy for ticket buyers and we were able to pull lists for the concert that made guest check- in a snap.","Cons: If your event is not a ticketed event it does require more thought and planning to make eventbrite work. That said, it is doable bacuse the pages are flexible, they can be customized.",,
Easy Event Prep,Jenna G.,Regulatory and Safety Tech,"Oil & Energy, 51-200 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Dec 04, 2018",5,5,5,3,5,10.0,,"Pros: There are a number of options you can include when sending out event invitations. Minimal hassle for set up. You are able to track ticket sales in real time. It eliminates manual tracking. For participants, all the information they need is ready in one location and tickets are distributed right to their email.","Cons: The app is great. However, when using the computer you need to sign in for every event email you receive and multiple accounts can't be linked. One email address per account and you need to sign in every time.","Overall: Great for events of all sizes especially when the RSVP requires the guest to make choices. Whether it is a large charity gala or an office Christmas party, Eventbrite is easy to use and makes organizing very simple when accommodating guest preferences.",
Perfect for Planning Events,Jeffrey A.,Marcom Manager,,Used the software for: 1-2 years,NGC,Source: Capterra,"Jul 06, 2018",4,5,4,4,4,10.0,,"Pros: Our company is constantly holding events for all our distributors around the US. There are a LOT of great features but the cost absolutely can't be beat. Other apps/programs/software have so many added fees for random features that it becomes an expensive hassle to even hold a single event. Not so with Eventbrite. We'd been burnt before with all the little hidden fees that it took some convincing the higher ups to get on board with Eventbrite. Now? They love it. Haven't looked back. It's an easy, hassle-free way to send out mass invites for an exceptional price. Just pump the link into an email and you're good to go. You can even have customizeable discounts and promo codes. I can keep going but I'll save you the reading. If you're using a different event planner, switch over. You'll get glad you did.","Cons: I don't like fishing for cons when there aren't any readily apparent, but if I had to say one negative thing about Eventbrite, it would be the customer service. You'll rarely have need to get in contact with them, but when you do it'll be a struggle. A few more reps, some more training, and an overall cheerier disposition would do them wonders.",,
"Practical Tool For Events, Not Without Flaws But Worth It",Alicia M.,BRIDGE Area Director,"Philanthropy, 11-50 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Jan 08, 2019",5,5,5,4,4,9.0,,Pros: Eventbrite makes setting up event invitations and ticket sales seamless for even an inexperienced user. Their template works for almost an function and navigating is fairly intuitive. Many people are familiar with Eventbrite so they're willing to go through the step of clicking into an additional link after reading about the event via social media or email.,"Cons: The customizations options are limited. There are not enough options to ask additional questions or gain event related information from the user. The backend data is not easy to access, use or transfer into other applications. While they are cost effective for small organizations, don't be fooled. The fees add up quick. Their per ticket cost is reasonable, but their credit card processing fees are high per industry average.","Overall: When it comes to the simple process of creating a ticketed and/or registered event, it can be done simply and quickly with Eventbrite. Customer service is quick to answer questions via chat or email. It does have limitations; however, without paying a subscription cost, it is still an industry leading tool.",
I would not recommend Eventbrite,Mary Lee C.,Writer and Editor,"Writing and Editing, 1-10 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Jun 20, 2019",1,1,1,1,4,9.0,,"Pros: While I do not actually like anything about this software itself, I do like that, although with considerable difficulty, it enables me to book online for events. I simply wish that events would use different software in order to achieve the same end result of allowing booking online.","Cons: I find this software unwelcoming and overly complicated to achieve a seemingly simplistic task. It is even difficult to sign in, and I am rarely sure, even after receiving a confirmation e-mail if I have booked correctly. As a result, I regularly waste time calling the event venue the next day, if a number is provided, to check that all details have been accurately received, and often (not always, but more frequently than I regard as reasonable), despite having received a confirmation e-mail, had I not checked with the venue, I was not booked into the event, which for events with limited space is, of course, potentially especially problematic. As a culture writer, attending arts events is an important aspect of my job, and it is a great time waster and strain whenever an event is done entirely through Eventbrite, as I must check anything possible and still be nervous that I will have trouble attending a sometimes necessary event.","Overall: My experience of Eventbrite has been very poor. It adds a great deal of time and worry to my working day whenever I have to use Eventbrite and follow up on it. Whenever possible, I avoid Eventbrite, and I have found that with some events and venues, while Eventbrite claims there is no availability, if one is able to circumvent Eventbrite and book directly, there is availability, so Eventbrite often seems a useless, even frustrating and counterproductive, unnecessary 'middle man.' I have had so many variedly negative experiences with Eventbrite, that recently, I decided for events that only book through it, if the event can be missed, it is more productive to not attend the event than deal with Eventbrite.",
THe best way to create an event,Natalia R.,CEO,"Telecommunications, 1-10 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Nov 13, 2018",5,5,5,1,4,9.0,,"Pros: I use for a long time Eventbrite for creating some events. Is very easy to use, export and manage all the things that you need.

With some clicks, you can create tickets and control your visitors.","Cons: To be honest, I love Eventbrite. Maybe that you can have more control about RRSS and the users that comment about your event",,
"Good solution for events, but room for improvement",Verified Reviewer,CEO,,Source: Capterra,NGC,Source: Capterra,"May 17, 2018",4,5,4,5,4,9.0,,"Pros: I have used Eventbrite for a variety of events now and I'm impressed by how easy it is to use, along with some great features like their built-in affiliate program and tracking capabilities.","Cons: The fees are fairly high, so especially for larger and higher priced events, this cost ends up being significant. I also wish it would integrate better with other mainstream software, like Hubspot - although you can create smart lists, you still need Zapier to transfer over attendee information.",,
"Great software, at a price",Mike R.,IT Manager / Web Developer,"Newspapers, 1-10 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Oct 31, 2018",5,5,5,5,3,8.0,,"Pros: Everything Eventbrite does is spectacular. They make it beyond simple to create, manage, take payment, check-in attendees in their app, and receive payment. Even things that seem tricky like adding waivers to tickets and adding custom fields for additional data are extremely simple to use and access. Basically, everything just works as expected.","Cons: Now, with great software, I understand does come a price. However while their fee structure has changed over the years, I still maintain they are taking too large a cut of ticket sales. While the exact percentage does change based on your plan and the price of the ticket you're selling, we consistently see 30% or more of our ticket sales revenue go to to Eventbrite. Again I do understand that you do need to pay for great software, I just wish Eventbrite either took a lower percentage or offered a flat fee option.","Overall: Overall we are extremely satisfied with Eventbrite. Yes, I think their fees are too high, but in terms of actual functionality, Eventbrite pretty much does everything we need it to do extremely well.",
Eventbrite has been sent to me for small and large scale event ticket purchases.,Wendy M.,Nurse Practitioner,"Hospital & Health Care, 501-1000 employees",Used the software for: 2+ years,NGC,Source: Capterra,"May 18, 2018",4,5,4,2,5,9.0,,"Pros: The link to eventbrite is easy and user friendly. I like most that it saves your ticket information in a virtual wallet. It also tracks all your purchases. It has been a while since I acquired the app from the apple app store, but I believe it was suggested to download the app to mobile devise to have access to all the cool features.",Cons: The software always asks to use your current location. I have found that allowing access to current location can trigger the app to run in the background of you mobile device. This can also ping you for advertisements that are not wanted.,Overall: The app tracks my events that I have purchased virtually. This is helpful to keep track of events that where not solicited by the user but rather by invitation.,
Have been using this software for years.,Donald A.,owner,,Used the software for: 2+ years,NO,Source: Capterra,"Jun 04, 2018",5,5,5,4,5,10.0,,Pros: Ability to sell tickets over a wide audience. Easy to upload mailing list. Helps maintain a customer database.,Cons: Fee structure and processing. Fees for events never remain consistent. And there should be a way for fees to be deducted at time of purchase as opposed to later via invoice.,Overall: easy to use ticketing software with html links.,
Handles registration without fuss,Adam C.,Assistant Professor,"Hospital & Health Care, 1001-5000 employees",Used the software for: 1-2 years,NGC,Source: Capterra,"Nov 02, 2018",5,5,5,5,5,9.0,,"Pros: Eventbrite is very easy to set up and help organize registration for a meeting or conference. It has lots of functionality and control. For example, you can set special ticket type, make tickets available or unavailable at specific times/dates, set promo codes for speakers or discounts (e.g. for students). Payment processing is done by Eventbrite and then transferred electronically to an account you indicate. Fees are quite low and easily incorporated into ticket price (which you can choose to be visible or not to the end user). Very intuitive. You can be up and running in no time.",Cons: Eventbrite usually only pays out after your event. So if you are counting on the money from pre-ticket sales to be in your account prior to event - this is not the right option.,,
Because a party without people is just sad,Osa L.,Marketing,,Used the software for: 1-2 years,NGC,Source: Capterra,"Jul 18, 2018",5,5,5,5,5,9.0,,"Pros: When you have an event or a cause and you need to get people's attention, you need to get people to come and participate, then Eventbrite is one of the easiest platforms you can use. Not only will your event be posted online, but it will also be easily searchable by google so that if people search for something that your event covers on google then your event can pop up. Better yet, people often go to eventbrite just looking for events to participate in, and when they see your event, they may decide to attend even if they were never even looking for your event.","Cons: Eventbrite has access to your contact list, and some people may not be comfortable registering with eventbrite because they don't want their information being too publicly available. In that case you can probably provide multiple options for registering for your event.",,
Eventbrite,Verified Reviewer,Marketing,"Education Management, 51-200 employees",Source: Capterra,NO,Source: Capterra,"Feb 06, 2019",4,4,3,5,4,7.0,,"Pros: - easy to use

- support for beginners (those who are using the software for the first time)

- free (if you have no event registration fees)

- great tool to have if managing simple events","Cons: - as soon as you create the event, it becomes public. I once had a speaker event created for my students (and it was a free event); and I had 3 external to school people signing up for it. Took me some time to go over the RSVP list to make sure nobody else external was there.

- not a very helpful tool if you event has multiple sessions/registration tracks/etc.

- very limited customization options",Overall: My overall experience with Eventbrite has been good. It is perfect for and easy to use when managing smaller simple events. It also looks professional.,
"have only used as a comsumer, not an event promoter yet",Verified Reviewer,Marketing,"Publishing, Self-employed",Source: Capterra,NGC,Source: Capterra,"Sep 12, 2018",5,5,5,5,4,8.0,,"Pros: It is everywhere--everyone knows what it is and what it does, and most events that sell tickets use evertbrite to sell and promote their ticket sales. IT is easy, straightforward, and very accessible. The best feature is it is all online, instead of requiring one to leave home or stand in a line to purchase event tickets.","Cons: I can't think of anything negative. I would like to utilize the software at some point for an event of my own, but I will have to study up on how to schedule and promote through them.","Overall: so far, I have only purchased tickets through this technology, but I intend to utilize its awesome potential on future sales events of my artwork and writing. It is clearly the dominant choice for ticket sales and event promo.",
